241008034808332 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008034809471 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008034809471 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008034809477 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008034809478 NTPClient.main()	INFO: Version Number: 3 (011)
241008034809478 NTPClient.main()	INFO: Mode: 3 (011)
241008034809482 NTPClient.main()	INFO: Stratum: 0
241008034809484 NTPClient.main()	INFO: Poll Interval: 10
241008034809485 NTPClient.main()	INFO: Precision: -10
241008034809486 NTPClient.main()	INFO: ============================================================

241008034809489 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008034814581 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008034814582 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008034814582 NTPClient.main()	INFO: Server: time.google.com
241008034814583 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008034814583 NTPClient.main()	INFO: Version Number: 3 (011)
241008034814584 NTPClient.main()	INFO: Mode: 3 (011)
241008034814584 NTPClient.main()	INFO: Stratum: 0
241008034814584 NTPClient.main()	INFO: Poll Interval: 10
241008034814585 NTPClient.main()	INFO: Precision: -10
241008034814585 NTPClient.main()	INFO: ============================================================

241008034814586 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008034814655 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000006474f4f47eaaf7e5eb4e549590000000000000000eaaf7e5eb4e5495aeaaf7e5eb4e5495c
241008034814656 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008034814656 NTPClient.main()	INFO: Server: time.google.com
241008034814657 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008034814657 NTPClient.main()	INFO: Version Number: 3 (011)
241008034814658 NTPClient.main()	INFO: Mode: 4 (100)
241008034814658 NTPClient.main()	INFO: Stratum: 1
241008034814659 NTPClient.main()	INFO: Poll Interval: 10
241008034814659 NTPClient.main()	INFO: Precision: -20
241008034814659 NTPClient.main()	INFO: Root Delay: 0
241008034814660 NTPClient.main()	INFO: Root Dispersion: 6
241008034814661 NTPClient.main()	INFO: Reference ID: 474f4f47
241008034814662 NTPClient.main()	INFO: Reference Timestamp: eaaf7e5eb4e54959
241008034814664 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008034814664 NTPClient.main()	INFO: Receive Timestamp: eaaf7e5eb4e5495a
241008034814670 NTPClient.main()	INFO: Transmit Timestamp: eaaf7e5eb4e5495c (3937369694)
241008034814671 NTPClient.main()	INFO: ============================================================

