241008161015354 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008161018325 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008161018325 NTPClient.main()	INFO: Server: time.windows.com
241008161018329 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008161018330 NTPClient.main()	INFO: Version Number: 3 (011)
241008161018331 NTPClient.main()	INFO: Mode: 3 (011)
241008161018333 NTPClient.main()	INFO: Stratum: 0
241008161018333 NTPClient.main()	INFO: Poll Interval: 10
241008161018334 NTPClient.main()	INFO: Precision: -10
241008161018334 NTPClient.main()	INFO: ============================================================

241008161018336 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008161018431 NTPClient.main()	INFO: time.windows.com > 1c030ae9000000580000072a1942e603eab02a59ce93b62a0000000000000000eab02c4ace939eadeab02c4ace93c396
241008161018432 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008161018432 NTPClient.main()	INFO: Server: time.windows.com
241008161018433 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008161018434 NTPClient.main()	INFO: Version Number: 3 (011)
241008161018435 NTPClient.main()	INFO: Mode: 4 (100)
241008161018435 NTPClient.main()	INFO: Stratum: 3
241008161018436 NTPClient.main()	INFO: Poll Interval: 10
241008161018437 NTPClient.main()	INFO: Precision: -23
241008161018437 NTPClient.main()	INFO: Root Delay: 88
241008161018438 NTPClient.main()	INFO: Root Dispersion: 1834
241008161018439 NTPClient.main()	INFO: Reference ID: 1942e603
241008161018441 NTPClient.main()	INFO: Reference Timestamp: 2024-10-08 22:02:01.806 UTC
241008161018441 NTPClient.main()	INFO: Origin Timestamp: 1900-01-01 00:00:00.000 UTC
241008161018442 NTPClient.main()	INFO: Receive Timestamp: 2024-10-08 22:10:18.806 UTC
241008161018443 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08 22:10:18.806 UTC
241008161018443 NTPClient.main()	INFO: ============================================================
241008161018445 NTPClient.main()	INFO: Hora del dispositivo: 2024-10-08 16:10:18.444 UTC

