241008032753045 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008032754388 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032754389 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008032754395 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032754395 NTPClient.main()	INFO: Version Number: 3 (011)
241008032754396 NTPClient.main()	INFO: Mode: 3 (011)
241008032754399 NTPClient.main()	INFO: Stratum: 0
241008032754400 NTPClient.main()	INFO: Poll Interval: 10
241008032754401 NTPClient.main()	INFO: Precision: -10
241008032754402 NTPClient.main()	INFO: ============================================================

241008032754404 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032759485 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008032759486 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032759486 NTPClient.main()	INFO: Server: time.google.com
241008032759486 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032759487 NTPClient.main()	INFO: Version Number: 3 (011)
241008032759487 NTPClient.main()	INFO: Mode: 3 (011)
241008032759488 NTPClient.main()	INFO: Stratum: 0
241008032759488 NTPClient.main()	INFO: Poll Interval: 10
241008032759488 NTPClient.main()	INFO: Precision: -10
241008032759489 NTPClient.main()	INFO: ============================================================

241008032759490 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032759558 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000004474f4f47eaaf799f9958d36e0000000000000000eaaf799f9958d36feaaf799f9958d371
241008032759559 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008032759560 NTPClient.main()	INFO: Server: time.google.com
241008032759560 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032759560 NTPClient.main()	INFO: Version Number: 3 (011)
241008032759561 NTPClient.main()	INFO: Mode: 4 (100)
241008032759561 NTPClient.main()	INFO: Stratum: 1
241008032759562 NTPClient.main()	INFO: Poll Interval: 10
241008032759562 NTPClient.main()	INFO: Precision: -20
241008032759563 NTPClient.main()	INFO: Root Delay: 0
241008032759563 NTPClient.main()	INFO: Root Dispersion: 4
241008032759564 NTPClient.main()	INFO: Reference ID: 300
241008032759566 NTPClient.main()	INFO: Reference Timestamp: -1722231954
241008032759567 NTPClient.main()	INFO: ============================================================

241008032934927 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
