241008154144563 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008154147189 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008154147190 NTPClient.main()	INFO: Server: time.windows.com
241008154147194 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008154147195 NTPClient.main()	INFO: Version Number: 3 (011)
241008154147195 NTPClient.main()	INFO: Mode: 3 (011)
241008154147198 NTPClient.main()	INFO: Stratum: 0
241008154147198 NTPClient.main()	INFO: Poll Interval: 10
241008154147199 NTPClient.main()	INFO: Precision: -10
241008154147199 NTPClient.main()	INFO: ============================================================

241008154147202 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008154147295 NTPClient.main()	INFO: time.windows.com > 1c030ae9000000660000083e1942e605eab02359a893a5630000000000000000eab0259ba8938a8beab0259ba893b47d
241008154147296 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008154147296 NTPClient.main()	INFO: Server: time.windows.com
241008154147297 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008154147297 NTPClient.main()	INFO: Version Number: 3 (011)
241008154147298 NTPClient.main()	INFO: Mode: 4 (100)
241008154147298 NTPClient.main()	INFO: Stratum: 3
241008154147299 NTPClient.main()	INFO: Poll Interval: 10
241008154147299 NTPClient.main()	INFO: Precision: -23
241008154147300 NTPClient.main()	INFO: Root Delay: 102
241008154147300 NTPClient.main()	INFO: Root Dispersion: 2110
241008154147301 NTPClient.main()	INFO: Reference ID: 1942e605
241008154147301 NTPClient.main()	INFO: Reference Timestamp: eab02359a893a563
241008154147302 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008154147303 NTPClient.main()	INFO: Receive Timestamp: eab0259ba8938a8b
241008154147304 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08 21:41:47.658 Z
241008154147311 NTPClient.main()	INFO: Transmit Timestamp: eab0259ba893b47d (3937412507.2828252285)
241008154147317 NTPClient.main()	INFO: Transmit Timestamp: 1728423707.658503800 (2024-10-08T21:41:47.658503800)
241008154147317 NTPClient.main()	INFO: ============================================================

