241008032149273 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008032150765 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032150766 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008032150771 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032150772 NTPClient.main()	INFO: Version Number: 3 (011)
241008032150773 NTPClient.main()	INFO: Mode: 3 (011)
241008032150776 NTPClient.main()	INFO: Stratum: 0
241008032150777 NTPClient.main()	INFO: Poll Interval: 10
241008032150778 NTPClient.main()	INFO: Precision: -10
241008032150778 NTPClient.main()	INFO: ============================================================

241008032150783 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032155887 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008032155888 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032155888 NTPClient.main()	INFO: Server: time.google.com
241008032155889 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032155890 NTPClient.main()	INFO: Version Number: 3 (011)
241008032155890 NTPClient.main()	INFO: Mode: 3 (011)
241008032155891 NTPClient.main()	INFO: Stratum: 0
241008032155891 NTPClient.main()	INFO: Poll Interval: 10
241008032155892 NTPClient.main()	INFO: Precision: -10
241008032155892 NTPClient.main()	INFO: ============================================================

241008032155894 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032155967 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf7834010ea05e0000000000000000eaaf7834010ea05feaaf7834010ea061
241008032155968 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008032155969 NTPClient.main()	INFO: Server: time.google.com
241008032155970 NTPClient.main()	INFO: Leap Indicator: 0 (000)
241008032155970 NTPClient.main()	INFO: Version Number: 7 (111)
241008032155971 NTPClient.main()	INFO: Mode: 0 (000)
241008032155971 NTPClient.main()	INFO: Stratum: 1
241008032155972 NTPClient.main()	INFO: Poll Interval: 10
241008032155972 NTPClient.main()	INFO: Precision: 236
241008032155973 NTPClient.main()	INFO: Root Delay: 0
241008032155973 NTPClient.main()	INFO: Root Dispersion: 5
241008032155974 NTPClient.main()	INFO: Reference ID: 1196379975
241008032155977 NTPClient.main()	INFO: Reference Timestamp: -1535876783158681506
241008032155978 NTPClient.main()	INFO: ============================================================

241008032155985 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032155986 NTPClient.main()	INFO: Server: time.google.com
241008032155987 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032155987 NTPClient.main()	INFO: Version Number: 3 (011)
241008032155988 NTPClient.main()	INFO: Mode: 3 (011)
241008032155988 NTPClient.main()	INFO: Stratum: 0
241008032155988 NTPClient.main()	INFO: Poll Interval: 10
241008032155989 NTPClient.main()	INFO: Precision: -10
241008032155989 NTPClient.main()	INFO: ============================================================

241008032155991 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032156057 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf783418d103b80000000000000000eaaf783418d103b9eaaf783418d103bb
241008032156059 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008032156059 NTPClient.main()	INFO: Server: time.google.com
241008032156060 NTPClient.main()	INFO: Leap Indicator: 0 (000)
241008032156060 NTPClient.main()	INFO: Version Number: 7 (111)
241008032156061 NTPClient.main()	INFO: Mode: 0 (000)
241008032156061 NTPClient.main()	INFO: Stratum: 1
241008032156062 NTPClient.main()	INFO: Poll Interval: 10
241008032156062 NTPClient.main()	INFO: Precision: 236
241008032156063 NTPClient.main()	INFO: Root Delay: 0
241008032156063 NTPClient.main()	INFO: Root Dispersion: 5
241008032156063 NTPClient.main()	INFO: Reference ID: 1196379975
241008032156064 NTPClient.main()	INFO: Reference Timestamp: -1535876782760066120
241008032156065 NTPClient.main()	INFO: ============================================================

