241008160355400 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008160356821 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008160356822 NTPClient.main()	INFO: Server: time.windows.com
241008160356826 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160356827 NTPClient.main()	INFO: Version Number: 3 (011)
241008160356828 NTPClient.main()	INFO: Mode: 3 (011)
241008160356830 NTPClient.main()	INFO: Stratum: 0
241008160356831 NTPClient.main()	INFO: Poll Interval: 10
241008160356831 NTPClient.main()	INFO: Precision: -10
241008160356832 NTPClient.main()	INFO: ============================================================

241008160356834 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008160356924 NTPClient.main()	INFO: time.windows.com > 1c030ae900000058000006091942e603eab02a59cd312b1b0000000000000000eab02acd4d311043eab02acd4d3136d9
241008160356925 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008160356926 NTPClient.main()	INFO: Server: time.windows.com
241008160356926 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160356927 NTPClient.main()	INFO: Version Number: 3 (011)
241008160356927 NTPClient.main()	INFO: Mode: 4 (100)
241008160356928 NTPClient.main()	INFO: Stratum: 3
241008160356928 NTPClient.main()	INFO: Poll Interval: 10
241008160356929 NTPClient.main()	INFO: Precision: -23
241008160356929 NTPClient.main()	INFO: Root Delay: 88
241008160356930 NTPClient.main()	INFO: Root Dispersion: 1545
241008160356930 NTPClient.main()	INFO: Reference ID: 1942e603
241008160356931 NTPClient.main()	INFO: Reference Timestamp: eab02a59cd312b1b
241008160356931 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008160356939 NTPClient.main()	INFO: Receive Timestamp: 2024-10-08 16:03:57.301 CST
241008160356940 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08 16:03:57.301 CST
241008160356940 NTPClient.main()	INFO: ============================================================

241008160356941 NTPClient.main()	WARNING: Error al recibir el paquete: Unable to extract ZoneId from temporal 2024-10-08T16:03:56.941795700
