241008141124037 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008141126224 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008141126225 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008141126233 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008141126234 NTPClient.main()	INFO: Version Number: 3 (011)
241008141126235 NTPClient.main()	INFO: Mode: 3 (011)
241008141126239 NTPClient.main()	INFO: Stratum: 0
241008141126240 NTPClient.main()	INFO: Poll Interval: 10
241008141126241 NTPClient.main()	INFO: Precision: -10
241008141126243 NTPClient.main()	INFO: ============================================================

241008141126246 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008141131304 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008141131305 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008141131306 NTPClient.main()	INFO: Server: time.google.com
241008141131306 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008141131307 NTPClient.main()	INFO: Version Number: 3 (011)
241008141131307 NTPClient.main()	INFO: Mode: 3 (011)
241008141131308 NTPClient.main()	INFO: Stratum: 0
241008141131308 NTPClient.main()	INFO: Poll Interval: 10
241008141131309 NTPClient.main()	INFO: Precision: -10
241008141131309 NTPClient.main()	INFO: ============================================================

241008141131311 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008141131375 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eab01073b6c185560000000000000000eab01073b6c18557eab01073b6c18559
241008141131377 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008141131378 NTPClient.main()	INFO: Server: time.google.com
241008141131378 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008141131379 NTPClient.main()	INFO: Version Number: 3 (011)
241008141131379 NTPClient.main()	INFO: Mode: 4 (100)
241008141131379 NTPClient.main()	INFO: Stratum: 1
241008141131379 NTPClient.main()	INFO: Poll Interval: 10
241008141131381 NTPClient.main()	INFO: Precision: -20
241008141131381 NTPClient.main()	INFO: Root Delay: 0
241008141131381 NTPClient.main()	INFO: Root Dispersion: 5
241008141131381 NTPClient.main()	INFO: Reference ID: 474f4f47
241008141131382 NTPClient.main()	INFO: Reference Timestamp: eab01073b6c18556
241008141131382 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008141131384 NTPClient.main()	INFO: Receive Timestamp: eab01073b6c18557
241008141131392 NTPClient.main()	INFO: Transmit Timestamp: eab01073b6c18559 (3937407091.3066135897)
241008141131394 NTPClient.main()	WARNING: Error al recibir el paquete: Invalid value for NanoOfSecond (valid values 0 - 999999999): -1228831399
