241008033241860 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008033243679 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008033243680 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008033243686 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008033243688 NTPClient.main()	INFO: Version Number: 3 (011)
241008033243689 NTPClient.main()	INFO: Mode: 3 (011)
241008033243694 NTPClient.main()	INFO: Stratum: 0
241008033243696 NTPClient.main()	INFO: Poll Interval: 10
241008033243697 NTPClient.main()	INFO: Precision: -10
241008033243697 NTPClient.main()	INFO: ============================================================

241008033243701 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008033248804 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008033248805 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008033248806 NTPClient.main()	INFO: Server: time.google.com
241008033248806 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008033248807 NTPClient.main()	INFO: Version Number: 3 (011)
241008033248807 NTPClient.main()	INFO: Mode: 3 (011)
241008033248808 NTPClient.main()	INFO: Stratum: 0
241008033248809 NTPClient.main()	INFO: Poll Interval: 10
241008033248810 NTPClient.main()	INFO: Precision: -10
241008033248811 NTPClient.main()	INFO: ============================================================

241008033248813 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008033248893 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000004474f4f47eaaf7ac0efc35c450000000000000000eaaf7ac0efc35c46eaaf7ac0efc35c48
241008033248894 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008033248895 NTPClient.main()	INFO: Server: time.google.com
241008033248896 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008033248896 NTPClient.main()	INFO: Version Number: 3 (011)
241008033248897 NTPClient.main()	INFO: Mode: 4 (100)
241008033248897 NTPClient.main()	INFO: Stratum: 1
241008033248898 NTPClient.main()	INFO: Poll Interval: 10
241008033248898 NTPClient.main()	INFO: Precision: -20
241008033248899 NTPClient.main()	INFO: Root Delay: 0
241008033248899 NTPClient.main()	INFO: Root Dispersion: 4
241008033248900 NTPClient.main()	INFO: Reference ID: 474F4F47
241008033248902 NTPClient.main()	INFO: Reference Timestamp: -272409531
241008033248903 NTPClient.main()	INFO: ============================================================

