241008153024607 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008153026697 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153026698 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008153026703 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153026703 NTPClient.main()	INFO: Version Number: 3 (011)
241008153026704 NTPClient.main()	INFO: Mode: 3 (011)
241008153026707 NTPClient.main()	INFO: Stratum: 0
241008153026707 NTPClient.main()	INFO: Poll Interval: 10
241008153026708 NTPClient.main()	INFO: Precision: -10
241008153026708 NTPClient.main()	INFO: ============================================================

241008153026711 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153031815 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008153031816 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153031816 NTPClient.main()	INFO: Server: time.windows.com
241008153031817 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153031817 NTPClient.main()	INFO: Version Number: 3 (011)
241008153031818 NTPClient.main()	INFO: Mode: 3 (011)
241008153031818 NTPClient.main()	INFO: Stratum: 0
241008153031818 NTPClient.main()	INFO: Poll Interval: 10
241008153031819 NTPClient.main()	INFO: Precision: -10
241008153031819 NTPClient.main()	INFO: ============================================================

241008153031820 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153031912 NTPClient.main()	INFO: time.windows.com > 1c030ae9000000660000063f1942e605eab02259ad2dc2b00000000000000000eab022f8453e0015eab022f8453e35c5
241008153031912 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008153031913 NTPClient.main()	INFO: Server: time.windows.com
241008153031913 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153031914 NTPClient.main()	INFO: Version Number: 3 (011)
241008153031914 NTPClient.main()	INFO: Mode: 4 (100)
241008153031915 NTPClient.main()	INFO: Stratum: 3
241008153031915 NTPClient.main()	INFO: Poll Interval: 10
241008153031916 NTPClient.main()	INFO: Precision: -23
241008153031916 NTPClient.main()	INFO: Root Delay: 102
241008153031916 NTPClient.main()	INFO: Root Dispersion: 1599
241008153031917 NTPClient.main()	INFO: Reference ID: 1942e605
241008153031918 NTPClient.main()	INFO: Reference Timestamp: eab02259ad2dc2b0
241008153031918 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008153031919 NTPClient.main()	INFO: Receive Timestamp: eab022f8453e0015
241008153031921 NTPClient.main()	WARNING: Error al recibir el paquete: Unsupported field: YearOfEra
