241008160256594 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008160258144 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008160258146 NTPClient.main()	INFO: Server: time.windows.com
241008160258153 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160258155 NTPClient.main()	INFO: Version Number: 3 (011)
241008160258156 NTPClient.main()	INFO: Mode: 3 (011)
241008160258161 NTPClient.main()	INFO: Stratum: 0
241008160258162 NTPClient.main()	INFO: Poll Interval: 10
241008160258163 NTPClient.main()	INFO: Precision: -10
241008160258163 NTPClient.main()	INFO: ============================================================

241008160258165 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008160258268 NTPClient.main()	INFO: time.windows.com > 1c030ae900000058000005dd1942e603eab02a59cb9dc7fc0000000000000000eab02a92a3ae0561eab02a92a3ae3963
241008160258270 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008160258271 NTPClient.main()	INFO: Server: time.windows.com
241008160258272 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160258274 NTPClient.main()	INFO: Version Number: 3 (011)
241008160258275 NTPClient.main()	INFO: Mode: 4 (100)
241008160258276 NTPClient.main()	INFO: Stratum: 3
241008160258277 NTPClient.main()	INFO: Poll Interval: 10
241008160258278 NTPClient.main()	INFO: Precision: -23
241008160258278 NTPClient.main()	INFO: Root Delay: 88
241008160258279 NTPClient.main()	INFO: Root Dispersion: 1501
241008160258280 NTPClient.main()	INFO: Reference ID: 1942e603
241008160258280 NTPClient.main()	INFO: Reference Timestamp: eab02a59cb9dc7fc
241008160258281 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008160258292 NTPClient.main()	INFO: Receive Timestamp: 2024-10-08 16:02:58.639 CST
241008160258323 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08 16:02:58.639 CST
241008160258324 NTPClient.main()	INFO: ============================================================

