241008140359483 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008140402771 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008140402772 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008140402779 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008140402780 NTPClient.main()	INFO: Version Number: 3 (011)
241008140402781 NTPClient.main()	INFO: Mode: 3 (011)
241008140402785 NTPClient.main()	INFO: Stratum: 0
241008140402786 NTPClient.main()	INFO: Poll Interval: 10
241008140402787 NTPClient.main()	INFO: Precision: -10
241008140402788 NTPClient.main()	INFO: ============================================================

241008140402790 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008140407938 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008140407940 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008140407941 NTPClient.main()	INFO: Server: time.google.com
241008140407942 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008140407942 NTPClient.main()	INFO: Version Number: 3 (011)
241008140407943 NTPClient.main()	INFO: Mode: 3 (011)
241008140407944 NTPClient.main()	INFO: Stratum: 0
241008140407945 NTPClient.main()	INFO: Poll Interval: 10
241008140407945 NTPClient.main()	INFO: Precision: -10
241008140407946 NTPClient.main()	INFO: ============================================================

241008140407949 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008140408022 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000004474f4f47eab00eb859bc2f0c0000000000000000eab00eb859bc2f0deab00eb859bc2f0f
241008140408023 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008140408023 NTPClient.main()	INFO: Server: time.google.com
241008140408024 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008140408025 NTPClient.main()	INFO: Version Number: 3 (011)
241008140408025 NTPClient.main()	INFO: Mode: 4 (100)
241008140408026 NTPClient.main()	INFO: Stratum: 1
241008140408026 NTPClient.main()	INFO: Poll Interval: 10
241008140408027 NTPClient.main()	INFO: Precision: -20
241008140408027 NTPClient.main()	INFO: Root Delay: 0
241008140408028 NTPClient.main()	INFO: Root Dispersion: 4
241008140408028 NTPClient.main()	INFO: Reference ID: 474f4f47
241008140408029 NTPClient.main()	INFO: Reference Timestamp: eab00eb859bc2f0c
241008140408030 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008140408030 NTPClient.main()	INFO: Receive Timestamp: eab00eb859bc2f0d
241008140408035 NTPClient.main()	INFO: Transmit Timestamp: eab00eb859bc2f0f (3937406648)
241008140408036 NTPClient.main()	INFO: ============================================================

