241008152219133 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008152220752 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008152220753 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008152220758 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008152220759 NTPClient.main()	INFO: Version Number: 3 (011)
241008152220760 NTPClient.main()	INFO: Mode: 3 (011)
241008152220763 NTPClient.main()	INFO: Stratum: 0
241008152220764 NTPClient.main()	INFO: Poll Interval: 10
241008152220765 NTPClient.main()	INFO: Precision: -10
241008152220765 NTPClient.main()	INFO: ============================================================

241008152220767 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008152225833 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008152225834 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008152225834 NTPClient.main()	INFO: Server: time.windows.com
241008152225835 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008152225835 NTPClient.main()	INFO: Version Number: 3 (011)
241008152225836 NTPClient.main()	INFO: Mode: 3 (011)
241008152225836 NTPClient.main()	INFO: Stratum: 0
241008152225837 NTPClient.main()	INFO: Poll Interval: 10
241008152225837 NTPClient.main()	INFO: Precision: -10
241008152225838 NTPClient.main()	INFO: ============================================================

241008152225839 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008152225933 NTPClient.main()	INFO: time.windows.com > 1c030ae90000006c000007cd1942e605eab01e599d04a14f0000000000000000eab02112490caa32eab02112490cdfe2
241008152225934 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008152225935 NTPClient.main()	INFO: Server: time.windows.com
241008152225935 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008152225936 NTPClient.main()	INFO: Version Number: 3 (011)
241008152225936 NTPClient.main()	INFO: Mode: 4 (100)
241008152225936 NTPClient.main()	INFO: Stratum: 3
241008152225937 NTPClient.main()	INFO: Poll Interval: 10
241008152225937 NTPClient.main()	INFO: Precision: -23
241008152225938 NTPClient.main()	INFO: Root Delay: 108
241008152225938 NTPClient.main()	INFO: Root Dispersion: 1997
241008152225939 NTPClient.main()	INFO: Reference ID: 1942e605
241008152225939 NTPClient.main()	INFO: Reference Timestamp: eab01e599d04a14f
241008152225940 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008152225940 NTPClient.main()	INFO: Receive Timestamp: eab02112490caa32
241008152225942 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08 21:22:26.285 Z
241008152225948 NTPClient.main()	INFO: Transmit Timestamp: eab02112490cdfe2 (3937411346.1225580514)
241008152225953 NTPClient.main()	INFO: Transmit Timestamp: 1728422546.285352699 (2024-10-08T21:22:26.285352699Z)
241008152225954 NTPClient.main()	INFO: ============================================================

