241008153756122 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008153757116 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153757117 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008153757121 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153757122 NTPClient.main()	INFO: Version Number: 3 (011)
241008153757122 NTPClient.main()	INFO: Mode: 3 (011)
241008153757130 NTPClient.main()	INFO: Stratum: 0
241008153757131 NTPClient.main()	INFO: Poll Interval: 10
241008153757132 NTPClient.main()	INFO: Precision: -10
241008153757133 NTPClient.main()	INFO: ============================================================

241008153757136 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153802249 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008153802250 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153802250 NTPClient.main()	INFO: Server: time.windows.com
241008153802250 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153802251 NTPClient.main()	INFO: Version Number: 3 (011)
241008153802251 NTPClient.main()	INFO: Mode: 3 (011)
241008153802252 NTPClient.main()	INFO: Stratum: 0
241008153802252 NTPClient.main()	INFO: Poll Interval: 10
241008153802252 NTPClient.main()	INFO: Precision: -10
241008153802253 NTPClient.main()	INFO: ============================================================

241008153802254 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153802345 NTPClient.main()	INFO: time.windows.com > 1c030ae900000066000007941942e605eab02359ad391c810000000000000000eab024bab5289c00eab024bab528c5f1
241008153802345 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008153802346 NTPClient.main()	INFO: Server: time.windows.com
241008153802346 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153802347 NTPClient.main()	INFO: Version Number: 3 (011)
241008153802347 NTPClient.main()	INFO: Mode: 4 (100)
241008153802348 NTPClient.main()	INFO: Stratum: 3
241008153802348 NTPClient.main()	INFO: Poll Interval: 10
241008153802348 NTPClient.main()	INFO: Precision: -23
241008153802349 NTPClient.main()	INFO: Root Delay: 102
241008153802349 NTPClient.main()	INFO: Root Dispersion: 1940
241008153802350 NTPClient.main()	INFO: Reference ID: 1942e605
241008153802350 NTPClient.main()	INFO: Reference Timestamp: eab02359ad391c81
241008153802351 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008153802351 NTPClient.main()	INFO: Receive Timestamp: eab024bab5289c00
241008153802353 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08 21:38:02.707 Z
241008153802359 NTPClient.main()	INFO: Transmit Timestamp: eab024bab528c5f1 (3937412282.3039348209)
241008153802365 NTPClient.main()	INFO: Transmit Timestamp: 1728423482.707653399 (2024-10-08T21:38:02.707653399Z)
241008153802365 NTPClient.main()	INFO: ============================================================

