241008153644897 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008153646121 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153646122 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008153646127 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153646128 NTPClient.main()	INFO: Version Number: 3 (011)
241008153646128 NTPClient.main()	INFO: Mode: 3 (011)
241008153646132 NTPClient.main()	INFO: Stratum: 0
241008153646133 NTPClient.main()	INFO: Poll Interval: 10
241008153646134 NTPClient.main()	INFO: Precision: -10
241008153646135 NTPClient.main()	INFO: ============================================================

241008153646139 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153651222 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008153651223 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153651224 NTPClient.main()	INFO: Server: time.windows.com
241008153651224 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153651225 NTPClient.main()	INFO: Version Number: 3 (011)
241008153651225 NTPClient.main()	INFO: Mode: 3 (011)
241008153651226 NTPClient.main()	INFO: Stratum: 0
241008153651226 NTPClient.main()	INFO: Poll Interval: 10
241008153651227 NTPClient.main()	INFO: Precision: -10
241008153651227 NTPClient.main()	INFO: ============================================================

241008153651228 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153651318 NTPClient.main()	INFO: time.windows.com > 1c030ae9000000660000075e1942e605eab02359aa1705d60000000000000000eab02473ae2f81cdeab02473ae2fa35b
241008153651319 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008153651319 NTPClient.main()	INFO: Server: time.windows.com
241008153651320 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153651320 NTPClient.main()	INFO: Version Number: 3 (011)
241008153651321 NTPClient.main()	INFO: Mode: 4 (100)
241008153651321 NTPClient.main()	INFO: Stratum: 3
241008153651322 NTPClient.main()	INFO: Poll Interval: 10
241008153651322 NTPClient.main()	INFO: Precision: -23
241008153651322 NTPClient.main()	INFO: Root Delay: 102
241008153651323 NTPClient.main()	INFO: Root Dispersion: 1886
241008153651323 NTPClient.main()	INFO: Reference ID: 1942e605
241008153651324 NTPClient.main()	INFO: Reference Timestamp: eab02359aa1705d6
241008153651324 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008153651325 NTPClient.main()	INFO: Receive Timestamp: eab02473ae2f81cd
241008153651327 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08 21:36:51.680 Z
241008153651333 NTPClient.main()	INFO: Transmit Timestamp: eab02473ae2fa35b (3937412211.2922357595)
241008153651338 NTPClient.main()	INFO: Transmit Timestamp: 1728423411.680414399 (2024-10-08T21:36:51.680414399Z)
241008153651338 NTPClient.main()	INFO: ============================================================

