241008153547600 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008153548371 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153548372 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008153548377 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153548378 NTPClient.main()	INFO: Version Number: 3 (011)
241008153548378 NTPClient.main()	INFO: Mode: 3 (011)
241008153548381 NTPClient.main()	INFO: Stratum: 0
241008153548382 NTPClient.main()	INFO: Poll Interval: 10
241008153548383 NTPClient.main()	INFO: Precision: -10
241008153548384 NTPClient.main()	INFO: ============================================================

241008153548387 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153553464 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008153553465 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153553465 NTPClient.main()	INFO: Server: time.windows.com
241008153553465 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153553466 NTPClient.main()	INFO: Version Number: 3 (011)
241008153553466 NTPClient.main()	INFO: Mode: 3 (011)
241008153553467 NTPClient.main()	INFO: Stratum: 0
241008153553467 NTPClient.main()	INFO: Poll Interval: 10
241008153553467 NTPClient.main()	INFO: Precision: -10
241008153553468 NTPClient.main()	INFO: ============================================================

241008153553469 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153553619 NTPClient.main()	INFO: time.windows.com > 1c030ae900000066000007321942e605eab02359aab57ed20000000000000000eab02439fad62a43eab02439fad64d7f
241008153553619 NTPClient.main()	WARNING: Error al recibir el paquete: zoneId
