241008031718240 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008031719971 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008031719971 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008031719976 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008031719977 NTPClient.main()	INFO: Version Number: 3 (011)
241008031719977 NTPClient.main()	INFO: Mode: 3 (011)
241008031719980 NTPClient.main()	INFO: Stratum: 0
241008031719981 NTPClient.main()	INFO: Poll Interval: 10
241008031719981 NTPClient.main()	INFO: Precision: -10
241008031719982 NTPClient.main()	INFO: ============================================================

241008031719984 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008031725088 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008031725089 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008031725089 NTPClient.main()	INFO: Server: time.google.com
241008031725090 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008031725090 NTPClient.main()	INFO: Version Number: 3 (011)
241008031725090 NTPClient.main()	INFO: Mode: 3 (011)
241008031725091 NTPClient.main()	INFO: Stratum: 0
241008031725091 NTPClient.main()	INFO: Poll Interval: 10
241008031725091 NTPClient.main()	INFO: Precision: -10
241008031725092 NTPClient.main()	INFO: ============================================================

241008031725093 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008031725161 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf772531f126580000000000000000eaaf772531f12659eaaf772531f1265b
241008031725162 NTPClient.main()	WARNING: Error al recibir el paquete: Range [3, 6) out of bounds for length 5
241008031725163 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008031725163 NTPClient.main()	INFO: Server: time.google.com
241008031725164 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008031725164 NTPClient.main()	INFO: Version Number: 3 (011)
241008031725164 NTPClient.main()	INFO: Mode: 3 (011)
241008031725165 NTPClient.main()	INFO: Stratum: 0
241008031725165 NTPClient.main()	INFO: Poll Interval: 10
241008031725165 NTPClient.main()	INFO: Precision: -10
241008031725166 NTPClient.main()	INFO: ============================================================

241008031725167 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008031725234 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf772544d0cc9b0000000000000000eaaf772544d0cc9ceaaf772544d0cc9e
241008031725234 NTPClient.main()	WARNING: Error al recibir el paquete: Range [3, 6) out of bounds for length 5
241008031725235 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008031725235 NTPClient.main()	INFO: Server: time.google.com
241008031725236 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008031725236 NTPClient.main()	INFO: Version Number: 3 (011)
241008031725236 NTPClient.main()	INFO: Mode: 3 (011)
241008031725237 NTPClient.main()	INFO: Stratum: 0
241008031725237 NTPClient.main()	INFO: Poll Interval: 10
