241008034144023 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008034145742 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008034145743 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008034145748 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008034145749 NTPClient.main()	INFO: Version Number: 3 (011)
241008034145750 NTPClient.main()	INFO: Mode: 3 (011)
241008034145753 NTPClient.main()	INFO: Stratum: 0
241008034145754 NTPClient.main()	INFO: Poll Interval: 10
241008034145756 NTPClient.main()	INFO: Precision: -10
241008034145757 NTPClient.main()	INFO: ============================================================

241008034145760 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008034150858 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008034150859 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008034150859 NTPClient.main()	INFO: Server: time.google.com
241008034150860 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008034150860 NTPClient.main()	INFO: Version Number: 3 (011)
241008034150860 NTPClient.main()	INFO: Mode: 3 (011)
241008034150861 NTPClient.main()	INFO: Stratum: 0
241008034150861 NTPClient.main()	INFO: Poll Interval: 10
241008034150861 NTPClient.main()	INFO: Precision: -10
241008034150862 NTPClient.main()	INFO: ============================================================

241008034150863 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008034150932 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf7cdefad3a81c0000000000000000eaaf7cdefad3a81deaaf7cdefad3a81f
241008034150933 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008034150933 NTPClient.main()	INFO: Server: time.google.com
241008034150933 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008034150934 NTPClient.main()	INFO: Version Number: 3 (011)
241008034150935 NTPClient.main()	INFO: Mode: 4 (100)
241008034150935 NTPClient.main()	INFO: Stratum: 1
241008034150935 NTPClient.main()	INFO: Poll Interval: 10
241008034150936 NTPClient.main()	INFO: Precision: -20
241008034150936 NTPClient.main()	INFO: Root Delay: 0
241008034150937 NTPClient.main()	INFO: Root Dispersion: 5
241008034150937 NTPClient.main()	INFO: Reference ID: 474F4F47
241008034150938 NTPClient.main()	INFO: Reference Timestamp: EAAF7CDEFAD3A81C
241008034150938 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008034150939 NTPClient.main()	INFO: Receive Timestamp: EAAF7CDEFAD3A81D
241008034150939 NTPClient.main()	INFO: Transmit Timestamp: EAAF7CDEFAD3A81F
241008034150940 NTPClient.main()	INFO: ============================================================

