241008160656223 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008160701344 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008160701344 NTPClient.main()	INFO: Server: time.windows.com
241008160701349 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160701350 NTPClient.main()	INFO: Version Number: 3 (011)
241008160701350 NTPClient.main()	INFO: Mode: 3 (011)
241008160701353 NTPClient.main()	INFO: Stratum: 0
241008160701353 NTPClient.main()	INFO: Poll Interval: 10
241008160701354 NTPClient.main()	INFO: Precision: -10
241008160701354 NTPClient.main()	INFO: ============================================================

241008160701356 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008160701449 NTPClient.main()	INFO: time.windows.com > 1c030ae900000058000006951942e603eab02a59cb5187b20000000000000000eab02b85d3410583eab02b85d3413122
241008160701450 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008160701450 NTPClient.main()	INFO: Server: time.windows.com
241008160701451 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160701451 NTPClient.main()	INFO: Version Number: 3 (011)
241008160701452 NTPClient.main()	INFO: Mode: 4 (100)
241008160701452 NTPClient.main()	INFO: Stratum: 3
241008160701453 NTPClient.main()	INFO: Poll Interval: 10
241008160701453 NTPClient.main()	INFO: Precision: -23
241008160701454 NTPClient.main()	INFO: Root Delay: 88
241008160701454 NTPClient.main()	INFO: Root Dispersion: 1685
241008160701454 NTPClient.main()	INFO: Reference ID: 1942e603
241008160701455 NTPClient.main()	INFO: Reference Timestamp: eab02a59cb5187b2
241008160701456 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008160701465 NTPClient.main()	INFO: Receive Timestamp: 2024-10-08 22:07:01.825 GMT
241008160701466 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08 22:07:01.825 GMT
241008160701466 NTPClient.main()	INFO: ============================================================
241008160701467 NTPClient.main()	INFO: Hora del dispositivo: 2024-10-08 16:07:01.467 CST
241008160701467 NTPClient.main()	INFO: 

