241008143927841 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008143929576 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008143929576 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008143929581 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008143929582 NTPClient.main()	INFO: Version Number: 3 (011)
241008143929582 NTPClient.main()	INFO: Mode: 3 (011)
241008143929584 NTPClient.main()	INFO: Stratum: 0
241008143929585 NTPClient.main()	INFO: Poll Interval: 10
241008143929585 NTPClient.main()	INFO: Precision: -10
241008143929586 NTPClient.main()	INFO: ============================================================

241008143929588 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008143934664 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008143934665 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008143934665 NTPClient.main()	INFO: Server: time.windows.com
241008143934666 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008143934666 NTPClient.main()	INFO: Version Number: 3 (011)
241008143934666 NTPClient.main()	INFO: Mode: 3 (011)
241008143934667 NTPClient.main()	INFO: Stratum: 0
241008143934667 NTPClient.main()	INFO: Poll Interval: 10
241008143934667 NTPClient.main()	INFO: Precision: -10
241008143934668 NTPClient.main()	INFO: ============================================================

241008143934669 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008143934764 NTPClient.main()	INFO: time.windows.com > 1c030ae900000060000006341942e601eab016597ff2c65b0000000000000000eab0170718030065eab0170718033970
241008143934764 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008143934765 NTPClient.main()	INFO: Server: time.windows.com
241008143934765 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008143934766 NTPClient.main()	INFO: Version Number: 3 (011)
241008143934766 NTPClient.main()	INFO: Mode: 4 (100)
241008143934767 NTPClient.main()	INFO: Stratum: 3
241008143934767 NTPClient.main()	INFO: Poll Interval: 10
241008143934768 NTPClient.main()	INFO: Precision: -23
241008143934768 NTPClient.main()	INFO: Root Delay: 96
241008143934769 NTPClient.main()	INFO: Root Dispersion: 1588
241008143934769 NTPClient.main()	INFO: Reference ID: 1942e601
241008143934770 NTPClient.main()	INFO: Reference Timestamp: eab016597ff2c65b
241008143934770 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008143934771 NTPClient.main()	INFO: Receive Timestamp: eab0170718030065
241008143934777 NTPClient.main()	INFO: Transmit Timestamp: eab0170718033970 (3937408775.402864496)
241008143934783 NTPClient.main()	INFO: Transmit Timestamp: 1728419975.93799199 (2024-10-08T20:39:35.093799199)
241008143934784 NTPClient.main()	INFO: ============================================================

