241008033500164 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008033501457 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008033501457 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008033501462 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008033501462 NTPClient.main()	INFO: Version Number: 3 (011)
241008033501463 NTPClient.main()	INFO: Mode: 3 (011)
241008033501466 NTPClient.main()	INFO: Stratum: 0
241008033501467 NTPClient.main()	INFO: Poll Interval: 10
241008033501468 NTPClient.main()	INFO: Precision: -10
241008033501468 NTPClient.main()	INFO: ============================================================

241008033501472 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008033506577 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008033506578 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008033506578 NTPClient.main()	INFO: Server: time.google.com
241008033506579 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008033506579 NTPClient.main()	INFO: Version Number: 3 (011)
241008033506579 NTPClient.main()	INFO: Mode: 3 (011)
241008033506580 NTPClient.main()	INFO: Stratum: 0
241008033506580 NTPClient.main()	INFO: Poll Interval: 10
241008033506581 NTPClient.main()	INFO: Precision: -10
241008033506581 NTPClient.main()	INFO: ============================================================

241008033506582 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008033506651 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf7b4ab1dd999a0000000000000000eaaf7b4ab1dd999beaaf7b4ab1dd999d
241008033506652 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008033506653 NTPClient.main()	INFO: Server: time.google.com
241008033506653 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008033506653 NTPClient.main()	INFO: Version Number: 3 (011)
241008033506654 NTPClient.main()	INFO: Mode: 4 (100)
241008033506654 NTPClient.main()	INFO: Stratum: 1
241008033506655 NTPClient.main()	INFO: Poll Interval: 10
241008033506655 NTPClient.main()	INFO: Precision: -20
241008033506656 NTPClient.main()	INFO: Root Delay: 0
241008033506656 NTPClient.main()	INFO: Root Dispersion: 5
241008033506657 NTPClient.main()	INFO: Reference ID: 474F4F47
241008033506657 NTPClient.main()	INFO: Reference Timestamp: EAAF7B4AB1DD999A
241008033506658 NTPClient.main()	INFO: ============================================================

