241008153949289 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008153950155 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153950156 NTPClient.main()	INFO: Server: time.windows.com
241008153950161 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153950161 NTPClient.main()	INFO: Version Number: 3 (011)
241008153950162 NTPClient.main()	INFO: Mode: 3 (011)
241008153950164 NTPClient.main()	INFO: Stratum: 0
241008153950165 NTPClient.main()	INFO: Poll Interval: 10
241008153950165 NTPClient.main()	INFO: Precision: -10
241008153950166 NTPClient.main()	INFO: ============================================================

241008153950168 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153950259 NTPClient.main()	INFO: time.windows.com > 1c030ae900000066000007e61942e605eab02359ab91bc550000000000000000eab025269f887153eab025269f899392
241008153950260 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008153950261 NTPClient.main()	INFO: Server: time.windows.com
241008153950261 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153950262 NTPClient.main()	INFO: Version Number: 3 (011)
241008153950263 NTPClient.main()	INFO: Mode: 4 (100)
241008153950263 NTPClient.main()	INFO: Stratum: 3
241008153950264 NTPClient.main()	INFO: Poll Interval: 10
241008153950264 NTPClient.main()	INFO: Precision: -23
241008153950265 NTPClient.main()	INFO: Root Delay: 102
241008153950266 NTPClient.main()	INFO: Root Dispersion: 2022
241008153950266 NTPClient.main()	INFO: Reference ID: 1942e605
241008153950267 NTPClient.main()	INFO: Reference Timestamp: eab02359ab91bc55
241008153950268 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008153950268 NTPClient.main()	INFO: Receive Timestamp: eab025269f887153
241008153950271 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08T21:39:50.623193Z
241008153950277 NTPClient.main()	INFO: Transmit Timestamp: eab025269f899392 (3937412390.2676593554)
241008153950284 NTPClient.main()	INFO: Transmit Timestamp: 1728423590.623193000 (2024-10-08T21:39:50.623193Z)
241008153950285 NTPClient.main()	INFO: ============================================================

