241008032512321 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008032513028 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032513029 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008032513034 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032513035 NTPClient.main()	INFO: Version Number: 3 (011)
241008032513035 NTPClient.main()	INFO: Mode: 3 (011)
241008032513038 NTPClient.main()	INFO: Stratum: 0
241008032513038 NTPClient.main()	INFO: Poll Interval: 10
241008032513039 NTPClient.main()	INFO: Precision: -10
241008032513039 NTPClient.main()	INFO: ============================================================

241008032513041 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032518138 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008032518139 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032518139 NTPClient.main()	INFO: Server: time.google.com
241008032518139 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032518140 NTPClient.main()	INFO: Version Number: 3 (011)
241008032518140 NTPClient.main()	INFO: Mode: 3 (011)
241008032518141 NTPClient.main()	INFO: Stratum: 0
241008032518141 NTPClient.main()	INFO: Poll Interval: 10
241008032518141 NTPClient.main()	INFO: Precision: -10
241008032518142 NTPClient.main()	INFO: ============================================================

241008032518144 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032518216 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf78fe406c44750000000000000000eaaf78fe406c4476eaaf78fe406c4478
241008032518217 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008032518218 NTPClient.main()	INFO: Server: time.google.com
241008032518218 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032518219 NTPClient.main()	INFO: Version Number: 3 (011)
241008032518219 NTPClient.main()	INFO: Mode: 4 (100)
241008032518220 NTPClient.main()	INFO: Stratum: 1
241008032518220 NTPClient.main()	INFO: Poll Interval: 10
241008032518220 NTPClient.main()	INFO: Precision: -20
241008032518221 NTPClient.main()	INFO: Root Delay: 0
241008032518221 NTPClient.main()	INFO: Root Dispersion: 5
241008032518222 NTPClient.main()	INFO: Reference ID: 1196379975
241008032518224 NTPClient.main()	INFO: Reference Timestamp: -1535875914512186251
241008032518225 NTPClient.main()	INFO: ============================================================

241008032518231 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032518231 NTPClient.main()	INFO: Server: time.google.com
241008032518232 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032518232 NTPClient.main()	INFO: Version Number: 3 (011)
241008032518233 NTPClient.main()	INFO: Mode: 3 (011)
241008032518233 NTPClient.main()	INFO: Stratum: 0
241008032518233 NTPClient.main()	INFO: Poll Interval: 10
241008032518234 NTPClient.main()	INFO: Precision: -10
241008032518234 NTPClient.main()	INFO: ============================================================

241008032518235 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032518302 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf78fe577be7fd0000000000000000eaaf78fe577be7feeaaf78fe577be800
241008032518302 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008032518303 NTPClient.main()	INFO: Server: time.google.com
241008032518303 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032518303 NTPClient.main()	INFO: Version Number: 3 (011)
241008032518304 NTPClient.main()	INFO: Mode: 4 (100)
241008032518304 NTPClient.main()	INFO: Stratum: 1
241008032518304 NTPClient.main()	INFO: Poll Interval: 10
241008032518305 NTPClient.main()	INFO: Precision: -20
241008032518305 NTPClient.main()	INFO: Root Delay: 0
241008032518305 NTPClient.main()	INFO: Root Dispersion: 5
241008032518306 NTPClient.main()	INFO: Reference ID: 1196379975
241008032518306 NTPClient.main()	INFO: Reference Timestamp: -1535875914125285379
241008032518306 NTPClient.main()	INFO: ============================================================

241008032713486 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032713487 NTPClient.main()	INFO: Server: time.google.com
241008032713488 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032713488 NTPClient.main()	INFO: Version Number: 3 (011)
241008032713489 NTPClient.main()	INFO: Mode: 3 (011)
