241008141554313 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008141556544 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008141556545 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008141556550 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008141556551 NTPClient.main()	INFO: Version Number: 3 (011)
241008141556552 NTPClient.main()	INFO: Mode: 3 (011)
241008141556556 NTPClient.main()	INFO: Stratum: 0
241008141556557 NTPClient.main()	INFO: Poll Interval: 10
241008141556558 NTPClient.main()	INFO: Precision: -10
241008141556559 NTPClient.main()	INFO: ============================================================

241008141556562 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008141601697 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008141601698 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008141601698 NTPClient.main()	INFO: Server: time.windows.com
241008141601699 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008141601699 NTPClient.main()	INFO: Version Number: 3 (011)
241008141601699 NTPClient.main()	INFO: Mode: 3 (011)
241008141601700 NTPClient.main()	INFO: Stratum: 0
241008141601700 NTPClient.main()	INFO: Poll Interval: 10
241008141601701 NTPClient.main()	INFO: Precision: -10
241008141601701 NTPClient.main()	INFO: ============================================================

241008141601702 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008141601798 NTPClient.main()	INFO: time.windows.com > 1c030ae900000056000008221942e603eab00e59629e35e00000000000000000eab011821ec70d70eab011821ec735b4
241008141601799 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008141601800 NTPClient.main()	INFO: Server: time.windows.com
241008141601800 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008141601801 NTPClient.main()	INFO: Version Number: 3 (011)
241008141601801 NTPClient.main()	INFO: Mode: 4 (100)
241008141601801 NTPClient.main()	INFO: Stratum: 3
241008141601802 NTPClient.main()	INFO: Poll Interval: 10
241008141601802 NTPClient.main()	INFO: Precision: -23
241008141601803 NTPClient.main()	INFO: Root Delay: 86
241008141601803 NTPClient.main()	INFO: Root Dispersion: 2082
241008141601803 NTPClient.main()	INFO: Reference ID: 1942e603
241008141601804 NTPClient.main()	INFO: Reference Timestamp: eab00e59629e35e0
241008141601804 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008141601805 NTPClient.main()	INFO: Receive Timestamp: eab011821ec70d70
241008141601811 NTPClient.main()	INFO: Transmit Timestamp: eab011821ec735b4 (3937407362.516371892)
241008141601818 NTPClient.main()	INFO: Transmit Timestamp: 3937407362.516371892 (2094-10-08T20:16:02.516371892)
241008141601818 NTPClient.main()	INFO: ============================================================

241008141755629 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008141755629 NTPClient.main()	INFO: Server: time.windows.com
241008141755630 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008141755630 NTPClient.main()	INFO: Version Number: 3 (011)
241008141755630 NTPClient.main()	INFO: Mode: 3 (011)
241008141755631 NTPClient.main()	INFO: Stratum: 2
241008141755631 NTPClient.main()	INFO: Poll Interval: 10
241008141755631 NTPClient.main()	INFO: Precision: 1
241008141755632 NTPClient.main()	INFO: ============================================================

241008141755633 NTPClient.main()	INFO: Paquete NTP enviado: 1b020a010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008141755722 NTPClient.main()	INFO: time.windows.com > 1c030ae900000056000008781942e603eab00e5963e368190000000000000000eab011f40bd2e946eab011f40bd30fdc
241008141755722 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008141755723 NTPClient.main()	INFO: Server: time.windows.com
241008141755723 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008141755723 NTPClient.main()	INFO: Version Number: 3 (011)
241008141755724 NTPClient.main()	INFO: Mode: 4 (100)
241008141755724 NTPClient.main()	INFO: Stratum: 3
241008141755724 NTPClient.main()	INFO: Poll Interval: 10
241008141755725 NTPClient.main()	INFO: Precision: -23
241008141755754 NTPClient.main()	INFO: Root Delay: 86
241008141755754 NTPClient.main()	INFO: Root Dispersion: 2168
241008141755755 NTPClient.main()	INFO: Reference ID: 1942e603
241008141755755 NTPClient.main()	INFO: Reference Timestamp: eab00e5963e36819
241008141755755 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008141755756 NTPClient.main()	INFO: Receive Timestamp: eab011f40bd2e946
241008141755756 NTPClient.main()	INFO: Transmit Timestamp: eab011f40bd30fdc (3937407476.198381532)
241008141755757 NTPClient.main()	INFO: Transmit Timestamp: 3937407476.198381532 (2094-10-08T20:17:56.198381532)
241008141755757 NTPClient.main()	INFO: ============================================================

