241008160507980 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008160509167 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008160509168 NTPClient.main()	INFO: Server: time.windows.com
241008160509176 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160509177 NTPClient.main()	INFO: Version Number: 3 (011)
241008160509177 NTPClient.main()	INFO: Mode: 3 (011)
241008160509180 NTPClient.main()	INFO: Stratum: 0
241008160509181 NTPClient.main()	INFO: Poll Interval: 10
241008160509182 NTPClient.main()	INFO: Precision: -10
241008160509182 NTPClient.main()	INFO: ============================================================

241008160509185 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008160509279 NTPClient.main()	INFO: time.windows.com > 1c030ae900000058000006401942e603eab02a59cf780f050000000000000000eab02b15a7885828eab02b15a7887d11
241008160509280 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008160509281 NTPClient.main()	INFO: Server: time.windows.com
241008160509281 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160509282 NTPClient.main()	INFO: Version Number: 3 (011)
241008160509282 NTPClient.main()	INFO: Mode: 4 (100)
241008160509283 NTPClient.main()	INFO: Stratum: 3
241008160509284 NTPClient.main()	INFO: Poll Interval: 10
241008160509284 NTPClient.main()	INFO: Precision: -23
241008160509285 NTPClient.main()	INFO: Root Delay: 88
241008160509285 NTPClient.main()	INFO: Root Dispersion: 1600
241008160509286 NTPClient.main()	INFO: Reference ID: 1942e603
241008160509287 NTPClient.main()	INFO: Reference Timestamp: eab02a59cf780f05
241008160509287 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008160509297 NTPClient.main()	INFO: Receive Timestamp: 2024-10-08 16:05:09.654 CST
241008160509298 NTPClient.main()	INFO: Transmit Timestamp: 2024-10-08 16:05:09.654 CST
241008160509298 NTPClient.main()	INFO: ============================================================

241008160509299 NTPClient.main()	INFO: Hora del dispositivo: 2024-10-08 16:05:09.299 CST
241008160524831 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008160524831 NTPClient.main()	INFO: Server: time.windows.com
241008160524831 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160524832 NTPClient.main()	INFO: Version Number: 3 (011)
241008160524832 NTPClient.main()	INFO: Mode: 3 (011)
241008160524832 NTPClient.main()	INFO: Stratum: 0
241008160524833 NTPClient.main()	INFO: Poll Interval: 10
241008160524833 NTPClient.main()	INFO: Precision: -10
241008160524833 NTPClient.main()	INFO: ============================================================

241008160524835 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008160524937 NTPClient.main()	INFO: time.windows.com > 1c030ae9000000580000064c1942e603eab02a59d12829ea0000000000000000eab02b254d50f916eab02b254d5133cf
241008160524938 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008160524938 NTPClient.main()	INFO: Server: time.windows.com
241008160524939 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008160524939 NTPClient.main()	INFO: Version Number: 3 (011)
