241008031800932 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008031802419 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008031802420 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008031802424 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008031802425 NTPClient.main()	INFO: Version Number: 3 (011)
241008031802425 NTPClient.main()	INFO: Mode: 3 (011)
241008031802428 NTPClient.main()	INFO: Stratum: 0
241008031802429 NTPClient.main()	INFO: Poll Interval: 10
241008031802429 NTPClient.main()	INFO: Precision: -10
241008031802430 NTPClient.main()	INFO: ============================================================

241008031802432 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008031807529 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008031807530 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008031807530 NTPClient.main()	INFO: Server: time.google.com
241008031807531 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008031807531 NTPClient.main()	INFO: Version Number: 3 (011)
241008031807532 NTPClient.main()	INFO: Mode: 3 (011)
241008031807532 NTPClient.main()	INFO: Stratum: 0
241008031807532 NTPClient.main()	INFO: Poll Interval: 10
241008031807533 NTPClient.main()	INFO: Precision: -10
241008031807533 NTPClient.main()	INFO: ============================================================

241008031807535 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008031807602 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf774fa305eb5d0000000000000000eaaf774fa305eb5eeaaf774fa305eb60
241008031807603 NTPClient.main()	WARNING: Error al recibir el paquete: Range [3, 6) out of bounds for length 5
241008031859685 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008031859686 NTPClient.main()	INFO: Server: time.google.com
241008031859687 NTPClient.main()	INFO: Leap Indicator: 0 (00)
