241008032309324 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008032310610 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032310611 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008032310621 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032310623 NTPClient.main()	INFO: Version Number: 3 (011)
241008032310625 NTPClient.main()	INFO: Mode: 3 (011)
241008032310629 NTPClient.main()	INFO: Stratum: 0
241008032310631 NTPClient.main()	INFO: Poll Interval: 10
241008032310633 NTPClient.main()	INFO: Precision: -10
241008032310634 NTPClient.main()	INFO: ============================================================

241008032310639 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032315732 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008032315733 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032315734 NTPClient.main()	INFO: Server: time.google.com
241008032315735 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032315736 NTPClient.main()	INFO: Version Number: 3 (011)
241008032315736 NTPClient.main()	INFO: Mode: 3 (011)
241008032315737 NTPClient.main()	INFO: Stratum: 0
241008032315737 NTPClient.main()	INFO: Poll Interval: 10
241008032315738 NTPClient.main()	INFO: Precision: -10
241008032315738 NTPClient.main()	INFO: ============================================================

241008032315740 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032315810 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf7883d90304960000000000000000eaaf7883d9030497eaaf7883d9030499
241008032315811 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008032315812 NTPClient.main()	INFO: Server: time.google.com
241008032315813 NTPClient.main()	INFO: Leap Indicator: 0 (000)
241008032315813 NTPClient.main()	INFO: Version Number: 7 (111)
241008032315814 NTPClient.main()	INFO: Mode: 0 (000)
241008032315814 NTPClient.main()	INFO: Stratum: 1
241008032315815 NTPClient.main()	INFO: Poll Interval: 10
241008032315815 NTPClient.main()	INFO: Precision: 236
241008032315816 NTPClient.main()	INFO: Root Delay: 0
241008032315816 NTPClient.main()	INFO: Root Dispersion: 5
241008032315816 NTPClient.main()	INFO: Reference ID: 1196379975
241008032315819 NTPClient.main()	INFO: Reference Timestamp: -654113642
241008032315820 NTPClient.main()	INFO: ============================================================

241008032315827 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032315827 NTPClient.main()	INFO: Server: time.google.com
241008032315828 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032315828 NTPClient.main()	INFO: Version Number: 3 (011)
241008032315828 NTPClient.main()	INFO: Mode: 3 (011)
241008032315829 NTPClient.main()	INFO: Stratum: 0
241008032315829 NTPClient.main()	INFO: Poll Interval: 10
241008032315830 NTPClient.main()	INFO: Precision: -10
241008032315830 NTPClient.main()	INFO: ============================================================

241008032315832 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
241008032315899 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eaaf7883f03728410000000000000000eaaf7883f0372842eaaf7883f0372844
241008032315900 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008032315900 NTPClient.main()	INFO: Server: time.google.com
241008032315901 NTPClient.main()	INFO: Leap Indicator: 0 (000)
241008032315901 NTPClient.main()	INFO: Version Number: 7 (111)
241008032315901 NTPClient.main()	INFO: Mode: 0 (000)
241008032315902 NTPClient.main()	INFO: Stratum: 1
241008032315902 NTPClient.main()	INFO: Poll Interval: 10
241008032315902 NTPClient.main()	INFO: Precision: 236
241008032315903 NTPClient.main()	INFO: Root Delay: 0
241008032315903 NTPClient.main()	INFO: Root Dispersion: 5
241008032315904 NTPClient.main()	INFO: Reference ID: 1196379975
241008032315904 NTPClient.main()	INFO: Reference Timestamp: -264820671
241008032315905 NTPClient.main()	INFO: ============================================================

241008032359545 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008032359546 NTPClient.main()	INFO: Server: time.google.com
241008032359547 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008032359548 NTPClient.main()	INFO: Version Number: 3 (011)
