241008153234659 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008153238907 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153238907 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008153238912 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153238912 NTPClient.main()	INFO: Version Number: 3 (011)
241008153238913 NTPClient.main()	INFO: Mode: 3 (011)
241008153238916 NTPClient.main()	INFO: Stratum: 0
241008153238916 NTPClient.main()	INFO: Poll Interval: 10
241008153238917 NTPClient.main()	INFO: Precision: -10
241008153238917 NTPClient.main()	INFO: ============================================================

241008153238920 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153243963 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008153243965 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008153243965 NTPClient.main()	INFO: Server: time.windows.com
241008153243966 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153243966 NTPClient.main()	INFO: Version Number: 3 (011)
241008153243966 NTPClient.main()	INFO: Mode: 3 (011)
241008153243967 NTPClient.main()	INFO: Stratum: 0
241008153243967 NTPClient.main()	INFO: Poll Interval: 10
241008153243967 NTPClient.main()	INFO: Precision: -10
241008153243968 NTPClient.main()	INFO: ============================================================

241008153243969 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008153244061 NTPClient.main()	INFO: time.windows.com > 1c030ae900000066000006a21942e605eab02359ab8a37fc0000000000000000eab0237c6b8a1ed2eab0237c6b8a4568
241008153244062 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008153244062 NTPClient.main()	INFO: Server: time.windows.com
241008153244063 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008153244063 NTPClient.main()	INFO: Version Number: 3 (011)
241008153244063 NTPClient.main()	INFO: Mode: 4 (100)
241008153244064 NTPClient.main()	INFO: Stratum: 3
241008153244064 NTPClient.main()	INFO: Poll Interval: 10
241008153244065 NTPClient.main()	INFO: Precision: -23
241008153244065 NTPClient.main()	INFO: Root Delay: 102
241008153244066 NTPClient.main()	INFO: Root Dispersion: 1698
241008153244066 NTPClient.main()	INFO: Reference ID: 1942e605
241008153244067 NTPClient.main()	INFO: Reference Timestamp: eab02359ab8a37fc
241008153244067 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008153244068 NTPClient.main()	INFO: Receive Timestamp: eab0237c6b8a1ed2
241008153244070 NTPClient.main()	WARNING: Error al recibir el paquete: Unsupported field: YearOfEra
